samples_name,Type 1,Type 2
180.S53.L001.R1.27,control,rus
231.S73.L001.R1.49,control,rus
55.S16.L001.R1.81,control,rus
37.S9.L001.R1.73,control,rus
218.S67.L001.R1.43,control,rus
230.S72.L001.R1.48,control,rus
288.S89.L001.R1.64,control,rus
302.S93.L001.R1.69,control,rus
80.S25.L001.R1.92,control,rus
52.S15.L001.R1.80,control,rus
197.S62.L001.R1.36,control,rus
7.S3.L001.R1.87,control,rus
133.S37.L001.R1.10,control,rus
270.S85.L001.R1.60,control,rus
88.S28.L001.R1.95,control,rus
264.S83.L001.R1.58,control,rus
216.S65.L001.R1.41,control,rus
281.S87.L001.R1.62,control,rus
181.S54.L001.R1.28,control,rus
57.S17.L001.R1.82,control,rus
63.S19.L001.R1.83,control,rus
305.S96.L001.R1.72,control,rus
227.S69.L001.R1.45,control,rus
79.S24.L001.R1.91,control,rus
178.S51.L001.R1.24,control,rus
82.S26.L001.R1.93,control,rus
278.S86.L001.R1.61,control,rus
223.S68.L001.R1.44,control,rus
122.S35.L001.R1.7,control,rus
242.S77.L001.R1.53,control,rus
291.S90.L001.R1.65,control,rus
217.S66.L001.R1.42,control,rus
183.S55.L001.R1.29,control,rus
4.S2.L001.R1.74,control,rus
229.S71.L001.R1.47,control,rus
294.S92.L001.R1.67,control,rus
176.S47.L001.R1.23,control,rus
283.S88.L001.R1.63,control,rus
87.S27.L001.R1.94,control,rus
228.S70.L001.R1.46,control,rus
292.S91.L001.R1.66,control,rus
142.S41.L001.R1.14,control,rus
76.S23.L001.R1.90,control,rus
46.S11.L001.R1.76,control,rus
166.S46.L001.R1.20,control,rus
69.S20.L001.R1.86,control,rus
175.S50.L001.R1.22,control,rus
201.S63.L001.R1.39,control,rus
51.S14.L001.R1.79,control,rus
186.S78.L001.R1.31,control,rus
232.S74.L001.R1.50,control,rus
241.S76.L001.R1.52,control,rus
252.S79.L001.R1.54,control,rus
184.S56.L001.R1.30,control,rus
99.S31.L001.R1.97,control,rus
179.S52.L001.R1.25,control,rus
199.S61.L001.R1.37,control,rus
94.S29.L001.R1.96,control,rus
43.S10.L001.R1.75,control,rus
120.S34.L001.R1.6,control,rus
187.S57.L001.R1.32,control,rus
13.S5.L001.R1.8,control,rus
67.S18.L001.R1.84,control,rus
30.S8.L001.R1.68,control,rus
134.S38.L001.R1.11,control,rus
253.S80.L001.R1.55,control,rus
266.S84.L001.R1.59,control,rus
303.S94.L001.R1.70,control,rus
68.S30.L001.R1.85,control,rus
132.S36.L001.R1.9,control,rus
49.S13.L001.R1.78,control,rus
108.S32.L001.R1.3,control,rus
304.S95.L001.R1.71,control,rus
168.S48.L001.R1.21,control,rus
191.S59.L001.R1.34,control,rus
189.S58.L001.R1.33,control,rus
109.S33.L001.R1.4,control,rus
207.S64.L001.R1.40,control,rus
18.S6.L001.R1.26,control,rus
1.S1.L001.R1.2,control,rus
20.S7.L001.R1.38,control,rus
74.S22.L001.R1.89,control,rus
261.S81.L001.R1.56,control,rus
263.S82.L001.R1.57,control,rus
135.S39.L001.R1.12,control,rus
47.S12.L001.R1.77,control,rus
153.S44.L001.R1.17,control,rus
234.S75.L001.R1.51,control,rus
73.S21.L001.R1.88,control,rus
152.S43.L001.R1.16,control,rus
194.S60.L001.R1.35,control,rus
141.S40.L001.R1.13,control,rus
158.S49.L001.R1.19,control,rus
12.S4.L001.R1.5,control,rus
154.S45.L001.R1.18,control,rus
144.S42.L001.R1.15,control,rus
