	sequences per sample	iteration	180.S53.L001.R1.27	231.S73.L001.R1.49	55.S16.L001.R1.81	37.S9.L001.R1.73	218.S67.L001.R1.43	230.S72.L001.R1.48	288.S89.L001.R1.64	302.S93.L001.R1.69	80.S25.L001.R1.92	52.S15.L001.R1.80	197.S62.L001.R1.36	7.S3.L001.R1.87	133.S37.L001.R1.10	270.S85.L001.R1.60	88.S28.L001.R1.95	264.S83.L001.R1.58	216.S65.L001.R1.41	281.S87.L001.R1.62	181.S54.L001.R1.28	57.S17.L001.R1.82	63.S19.L001.R1.83	305.S96.L001.R1.72	227.S69.L001.R1.45	79.S24.L001.R1.91	178.S51.L001.R1.24	82.S26.L001.R1.93	278.S86.L001.R1.61	223.S68.L001.R1.44	122.S35.L001.R1.7	242.S77.L001.R1.53	291.S90.L001.R1.65	217.S66.L001.R1.42	183.S55.L001.R1.29	4.S2.L001.R1.74	229.S71.L001.R1.47	294.S92.L001.R1.67	176.S47.L001.R1.23	283.S88.L001.R1.63	87.S27.L001.R1.94	228.S70.L001.R1.46	292.S91.L001.R1.66	142.S41.L001.R1.14	76.S23.L001.R1.90	46.S11.L001.R1.76	166.S46.L001.R1.20	69.S20.L001.R1.86	175.S50.L001.R1.22	201.S63.L001.R1.39	51.S14.L001.R1.79	186.S78.L001.R1.31	232.S74.L001.R1.50	241.S76.L001.R1.52	252.S79.L001.R1.54	184.S56.L001.R1.30	99.S31.L001.R1.97	179.S52.L001.R1.25	199.S61.L001.R1.37	94.S29.L001.R1.96	43.S10.L001.R1.75	120.S34.L001.R1.6	187.S57.L001.R1.32	13.S5.L001.R1.8	67.S18.L001.R1.84	30.S8.L001.R1.68	134.S38.L001.R1.11	253.S80.L001.R1.55	266.S84.L001.R1.59	303.S94.L001.R1.70	68.S30.L001.R1.85	132.S36.L001.R1.9	49.S13.L001.R1.78	108.S32.L001.R1.3	304.S95.L001.R1.71	168.S48.L001.R1.21	191.S59.L001.R1.34	189.S58.L001.R1.33	109.S33.L001.R1.4	207.S64.L001.R1.40	18.S6.L001.R1.26	1.S1.L001.R1.2	20.S7.L001.R1.38	74.S22.L001.R1.89	261.S81.L001.R1.56	263.S82.L001.R1.57	135.S39.L001.R1.12	47.S12.L001.R1.77	153.S44.L001.R1.17	234.S75.L001.R1.51	73.S21.L001.R1.88	152.S43.L001.R1.16	194.S60.L001.R1.35	141.S40.L001.R1.13	158.S49.L001.R1.19	12.S4.L001.R1.5	154.S45.L001.R1.18	144.S42.L001.R1.15
alpha_rarefaction_10_0.txt	10	0	3.34415	2.33331	2.61734	2.1415	2.88243	2.63239	2.08191	2.85697	2.55182	3.09173	2.68092	3.00623	3.14361	2.59815	2.83695	2.52328	2.90095	3.05971	3.54124	3.10146	1.44331	2.97819	2.66145	2.03856	2.91484	3.18355	2.66148	2.83047	2.6989	2.30097	2.44622	2.48725	2.40629	2.84338	2.34488	2.67354	2.82779	2.32447	2.3937	2.67199	2.50275	2.83447	1.59077	2.60623	2.93253	2.48389	2.48242	2.65645	2.7474	2.93817	2.84615	1.86435	2.50227	2.8386	3.15935	3.04768	3.14768	2.41562	2.45213	2.72993	2.8858	3.10309	3.10961	2.30439	2.24585	3.48736	3.01308	2.9682	2.57954	2.90885	2.74968	2.78052	1.93312	2.15779	2.4988	3.02218	3.78088	2.81527	1.58099	1.89008	3.21899	3.34228	3.53899	2.276	1.91391	2.62577	2.56916	2.51006	2.35402	2.90452	2.22342	2.50623	3.69079	3.41502	3.1414	2.90095
alpha_rarefaction_10_1.txt	10	1	3.23513	3.08265	2.15434	2.629	3.18035	2.60908	2.53565	2.80629	3.63477	3.47014	2.25544	2.54582	2.64211	2.48164	3.06823	2.39669	2.24879	3.00211	2.47138	3.1928	1.35778	2.67469	2.73508	2.08711	2.9912	1.69972	3.04979	2.02434	1.38767	2.86393	2.7169	1.722	2.48594	2.35256	2.3038	3.21584	2.81656	2.12037	2.09382	2.85338	1.56714	2.57685	2.47189	2.45551	2.72856	2.67256	2.92999	2.5691	3.05151	2.90517	2.29066	2.32979	2.12381	2.93315	2.46485	3.57841	2.67527	3.28727	2.76584	2.92349	2.50804	2.72258	2.8068	3.07992	2.71339	3.56685	3.26816	2.12921	3.05932	3.13302	3.03746	2.08982	2.58336	2.6464	3.527	2.78303	2.82272	3.10786	2.55862	2.4011	3.32206	2.05391	2.71005	2.79719	1.7967	2.6332	3.24679	1.69977	2.64144	2.93423	2.70155	3.12393	2.58375	2.80155	2.35501	2.63391
alpha_rarefaction_10_2.txt	10	2	3.77489	2.52746	1.95182	2.75261	3.17866	2.9357	2.71718	2.23538	2.18923	2.99816	2.71746	3.14766	2.46991	2.25648	2.72649	2.61638	2.52233	3.06949	2.16669	2.94224	1.38606	3.05149	3.62558	2.85511	2.92614	2.25686	2.69026	3.19355	3.03574	3.11799	2.78883	3.38494	3.17413	3.153	1.9889	2.96939	2.718	1.62344	2.35956	3.00576	2.49812	2.61648	2.0051	2.52538	2.55864	3.43775	2.69028	3.05518	2.11954	2.88673	2.66686	2.41708	1.8215	3.22318	2.65808	3.22037	2.25365	2.07542	1.91874	3.05931	3.24809	1.51575	3.52153	2.10266	2.56949	2.82277	2.95283	2.41864	2.93344	3.07367	2.75726	3.30159	2.63894	2.70273	2.93214	2.87792	2.95241	2.42845	2.75523	2.28263	3.21143	2.89062	3.10887	2.2056	3.08715	1.97631	2.73454	3.41458	3.2596	2.66999	2.74949	2.47639	2.73267	2.80731	3.10908	2.32654
alpha_rarefaction_10_3.txt	10	3	3.01201	2.55662	2.44451	3.61439	3.00893	2.72736	2.58896	2.39607	2.54475	1.88419	2.80623	2.0336	2.71682	2.59202	2.98548	2.69396	2.14476	2.37456	2.84872	3.2435	1.88442	2.73672	2.46756	2.67912	2.82704	2.6428	2.65916	3.41503	1.82145	3.19067	1.95492	2.16598	2.80834	2.64896	2.4128	3.62071	2.66001	1.90608	3.38369	2.74779	1.80797	2.73572	2.45441	2.77232	2.48417	2.36593	2.64046	3.35537	2.95292	2.60076	2.57803	1.56091	2.39995	3.45927	3.09382	3.26463	2.01076	1.85363	1.90198	3.19543	3.33751	2.34491	3.15443	2.6753	1.9583	3.4059	2.68236	2.53563	2.56308	2.67431	2.83118	3.15896	2.59128	3.57332	3.64247	2.43641	3.17309	3.51138	1.77694	2.08093	3.08763	3.3149	2.9885	2.4995	1.94696	2.60664	2.98698	3.06088	3.58426	3.17908	1.78815	3.03118	3.0622	3.15117	2.76027	2.67494
alpha_rarefaction_10_4.txt	10	4	2.77814	3.07697	2.49306	2.80146	2.90911	2.78043	3.08875	2.42283	2.79103	2.86131	3.04032	3.08196	3.22835	2.44532	3.12907	2.71994	2.04286	2.1682	3.41111	2.92351	1.65784	3.43875	2.52192	3.42886	3.41119	2.68007	3.3131	3.61678	2.46488	2.47924	2.68091	2.066	2.64085	2.93967	2.09049	3.77569	2.74928	1.96234	2.39284	2.95431	1.40326	2.91681	1.84548	2.65873	2.60974	2.49581	3.40264	3.09026	3.49605	2.50003	2.68969	1.65235	2.38748	2.6479	2.67671	2.69292	2.95268	1.77351	2.21211	3.68403	2.97543	2.64394	3.17243	2.03481	2.07294	2.77064	3.02726	3.32668	2.79149	1.97075	2.2187	3.29657	2.51871	1.7231	3.1876	3.09214	3.01399	2.63226	2.14458	2.7142	1.90591	2.13059	3.06181	2.76043	2.51949	3.04742	2.9747	2.78537	2.89118	2.86436	1.92295	2.65959	2.88387	3.10103	2.60437	2.92418
alpha_rarefaction_10_5.txt	10	5	3.40031	2.28582	2.47124	2.44115	2.89585	3.40293	2.5163	2.77981	2.93074	2.82334	2.95308	3.29078	2.5779	2.22341	3.36535	2.68887	2.16425	2.80614	2.40501	2.887	1.97019	3.04387	3.19443	1.68171	2.41627	2.97854	2.78521	3.43063	2.51777	3.27173	2.35874	3.10498	2.50262	2.41117	2.1658	3.31271	2.94455	1.52344	2.08453	2.84627	1.36927	2.76825	2.58539	2.80491	3.41417	2.78115	2.64218	2.91338	2.70482	2.55087	2.81707	1.58391	1.73796	3.01862	2.74378	3.3075	2.80739	1.73509	2.02201	3.36367	3.03028	2.51499	3.37495	1.82225	2.82789	3.23489	2.62373	2.43672	2.52125	2.33303	2.90075	2.66284	2.90237	3.4179	3.1022	2.63643	2.57329	2.81062	1.99419	2.12567	2.01912	2.15048	2.93277	2.22868	1.83399	3.1873	2.83845	2.14409	3.03421	2.48313	2.2914	2.88103	3.27004	3.3913	2.97996	2.64882
alpha_rarefaction_10_6.txt	10	6	2.33532	3.1887	2.13495	3.12821	2.28698	2.7702	3.09178	2.76938	2.9164	2.67856	2.86353	2.02684	2.88249	2.83552	3.00783	2.67892	2.65517	2.9074	3.17403	3.39745	1.88372	3.13363	3.01432	2.89606	2.73282	2.58907	2.29962	2.69916	2.11135	2.92336	3.15218	2.62225	2.98494	2.36059	2.87628	3.41099	1.93412	2.47118	2.19118	3.04047	2.17514	2.65422	3.05348	2.91333	2.89895	3.07714	2.49389	2.47369	2.39297	2.31311	2.90242	2.10081	3.144	3.1616	2.39377	3.52382	2.07575	2.56562	3.27759	3.15797	2.53438	2.68935	3.0372	2.68188	2.7864	2.90957	3.08941	2.74146	2.61544	1.76487	2.52618	2.73308	2.91405	1.74388	3.11908	3.1912	2.92083	2.60193	1.96682	2.54048	2.67421	2.44344	3.43473	2.8066	2.33867	2.6055	2.45534	3.09377	3.56832	2.78838	2.36887	3.76877	3.79045	3.4369	2.61388	3.02272
alpha_rarefaction_10_7.txt	10	7	3.14326	2.80318	2.76941	3.77933	2.7065	2.80936	2.07701	3.17741	2.90583	2.43338	3.22703	2.99673	2.84202	3.53156	2.57329	3.11609	3.42053	2.61466	3.35743	2.75121	1.29391	3.06526	2.42111	1.71818	3.13562	3.54839	2.83754	2.97107	2.44303	2.28513	2.60823	2.37864	2.78658	3.11825	2.96141	2.70745	2.83099	2.00708	1.91808	2.93937	1.40104	2.93976	1.77273	2.26849	3.26387	2.765	3.05044	2.86839	3.17786	2.4121	2.95172	2.08526	2.47052	2.54257	3.09793	2.69642	3.0875	2.64393	1.6832	4.23128	2.65189	3.02976	1.89361	2.58506	2.25436	3.09321	3.2489	2.68426	2.57412	2.97799	2.51838	3.02644	2.34546	3.15627	3.59685	2.84663	3.08316	2.75386	2.57468	2.57191	3.19863	3.69745	2.6038	2.68366	1.8241	2.44095	2.99435	2.5426	2.9588	2.77451	2.38929	3.39813	2.74864	2.6493	2.90789	3.28243
alpha_rarefaction_10_8.txt	10	8	3.58253	2.3926	2.1197	2.89168	2.51378	2.85879	2.66299	2.78336	1.92424	3.32885	2.06315	3.51315	2.81353	2.46538	2.84029	2.73569	2.6886	2.8017	2.24139	2.87299	1.47549	2.94386	2.61851	2.48295	3.21569	2.58669	2.92813	3.14005	2.62123	3.1416	1.9456	3.14167	2.28017	2.5849	2.82065	2.86342	2.09702	1.56754	2.73669	3.16921	1.8929	2.58043	2.12887	2.38175	2.3012	3.33104	2.42073	2.6947	3.09346	3.33964	3.22774	3.062	2.08681	2.55845	2.5157	3.11245	2.61266	1.64213	2.092	2.66517	3.2479	2.62272	3.40207	3.15855	2.52457	3.33139	3.40846	2.54666	2.94436	2.34458	2.72003	3.08115	2.26832	1.78081	3.5411	2.97812	3.01056	2.87495	2.42364	2.52171	2.18616	2.83888	2.6717	2.95971	2.48493	2.78146	2.46637	2.39347	3.35805	2.52172	1.96559	3.79657	2.80577	2.6216	2.26627	3.51287
alpha_rarefaction_10_9.txt	10	9	3.01944	2.53285	1.7331	3.37757	2.55108	2.71755	3.04799	2.97081	2.80032	2.74081	3.10271	3.00261	2.9745	2.81615	2.85786	2.6243	2.39722	2.39395	2.30141	2.45099	1.40852	3.25822	3.12185	3.41989	2.83295	2.31078	2.44031	3.44624	1.65651	3.32881	3.02273	2.68384	2.82255	2.70912	3.07408	2.61007	2.62023	1.81723	2.1783	1.85495	1.5293	2.64173	2.30619	3.04769	3.10664	3.06275	2.26526	2.25174	2.75262	1.90843	4.17726	2.09841	2.28774	2.73586	2.68794	3.25975	1.8804	2.01576	3.47636	2.75402	2.82403	2.59669	3.60286	2.67004	2.32572	2.72949	2.50931	2.97129	3.08896	2.07693	3.02569	2.35045	2.71746	2.49376	3.24689	2.92351	3.07701	2.89898	2.23611	2.89412	2.66614	2.2789	3.02807	2.8704	1.85306	1.91528	3.08533	2.85253	2.79786	2.62568	2.13399	2.962	2.81802	3.24911	2.72048	2.41596
