	180.S53.L001.R1.27	231.S73.L001.R1.49	55.S16.L001.R1.81	37.S9.L001.R1.73	218.S67.L001.R1.43	230.S72.L001.R1.48	288.S89.L001.R1.64	302.S93.L001.R1.69	80.S25.L001.R1.92	52.S15.L001.R1.80	197.S62.L001.R1.36	7.S3.L001.R1.87	133.S37.L001.R1.10	270.S85.L001.R1.60	88.S28.L001.R1.95	264.S83.L001.R1.58	216.S65.L001.R1.41	281.S87.L001.R1.62	181.S54.L001.R1.28	57.S17.L001.R1.82	63.S19.L001.R1.83	305.S96.L001.R1.72	227.S69.L001.R1.45	79.S24.L001.R1.91	178.S51.L001.R1.24	82.S26.L001.R1.93	278.S86.L001.R1.61	223.S68.L001.R1.44	122.S35.L001.R1.7	242.S77.L001.R1.53	291.S90.L001.R1.65	217.S66.L001.R1.42	183.S55.L001.R1.29	4.S2.L001.R1.74	229.S71.L001.R1.47	294.S92.L001.R1.67	176.S47.L001.R1.23	283.S88.L001.R1.63	87.S27.L001.R1.94	228.S70.L001.R1.46	292.S91.L001.R1.66	142.S41.L001.R1.14	76.S23.L001.R1.90	46.S11.L001.R1.76	166.S46.L001.R1.20	69.S20.L001.R1.86	175.S50.L001.R1.22	201.S63.L001.R1.39	51.S14.L001.R1.79	186.S78.L001.R1.31	232.S74.L001.R1.50	241.S76.L001.R1.52	252.S79.L001.R1.54	184.S56.L001.R1.30	99.S31.L001.R1.97	179.S52.L001.R1.25	199.S61.L001.R1.37	94.S29.L001.R1.96	43.S10.L001.R1.75	120.S34.L001.R1.6	187.S57.L001.R1.32	13.S5.L001.R1.8	67.S18.L001.R1.84	30.S8.L001.R1.68	134.S38.L001.R1.11	253.S80.L001.R1.55	266.S84.L001.R1.59	303.S94.L001.R1.70	68.S30.L001.R1.85	132.S36.L001.R1.9	49.S13.L001.R1.78	108.S32.L001.R1.3	304.S95.L001.R1.71	168.S48.L001.R1.21	191.S59.L001.R1.34	189.S58.L001.R1.33	109.S33.L001.R1.4	207.S64.L001.R1.40	18.S6.L001.R1.26	1.S1.L001.R1.2	20.S7.L001.R1.38	74.S22.L001.R1.89	261.S81.L001.R1.56	263.S82.L001.R1.57	135.S39.L001.R1.12	47.S12.L001.R1.77	153.S44.L001.R1.17	234.S75.L001.R1.51	73.S21.L001.R1.88	152.S43.L001.R1.16	194.S60.L001.R1.35	141.S40.L001.R1.13	158.S49.L001.R1.19	12.S4.L001.R1.5	154.S45.L001.R1.18	144.S42.L001.R1.15
k__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63649851632e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter; s__	0.0	0.0015501301002	0.000846101074777	0.0	0.00067681014174	0.0016525511258	0.0	0.0	5.74811749152e-05	4.76917207173e-05	0.0	0.00296735905045	6.2410285215e-05	0.0	0.000187617260788	0.0	0.000244909383528	0.0	0.0	0.0	0.0	0.00167609469935	0.000565530892125	0.0	0.000271321334901	0.0	0.0	0.000388142254136	0.0	0.00113535568565	0.0	0.0	0.0	0.0	0.000682205798749	0.00025354969574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000781453503517	0.000134097690167	0.000557134102178	0.0	0.000229485624365	0.0	0.0	0.0	0.0	0.000488599348534	0.000740048297889	0.000120402143158	0.0	0.00200989486704	7.7519379845e-05	0.0	4.67530038805e-05	0.0	0.00058452945379	0.0	0.000396702957641	0.0	4.43399991132e-05	0.0	0.00126086667994	0.0	0.0	0.0	6.74854906195e-05	0.000373738632117	0.0	0.000972668028402	0.000131561636627	0.000532197977648	0.0	0.00221088435374	0.000900900900901	0.000574932924492	0.0	0.000352941176471	0.000517598343685	0.0	0.00138367266258	0.000137988133021	0.0	0.00137098985468	0.0	0.0	0.000433745391455	9.19878576028e-05
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera; s__	0.0	0.0	0.0	0.0	0.00011714021684	0.0	0.0	0.0	0.00011496234983	0.0	0.0	0.0026428041543	0.0	0.0	0.0	0.0	0.0	0.0	4.45533526398e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7035563534e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.50349020491e-05	0.0	0.000488599348534	0.000116849731246	0.000180603214737	0.0	0.0	0.000232558139535	0.000169419737399	0.0	0.0	6.49477170877e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000135244793075	0.0	0.0	0.0	0.0	0.000850340136054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000413964399062	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__TMEG; g__; s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31824925816e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]; g__; s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31824925816e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__; c__; o__; f__; g__; s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31824925816e-05	0.0	0.0	9.3808630394e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.40781064045e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__AC1; c__; o__; f__; g__; s__	0.0	0.0	0.0	0.0	5.20623185954e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.63649851632e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__AD3; c__ABS-6; o__; f__; g__; s__	0.0	0.0	2.28675966156e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Acidobacteria; c__; o__; f__; g__; s__	0.0	0.0	6.86027898468e-05	0.0	6.50778982442e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.63649851632e-05	0.00012482057043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Acidobacteria; c__AT-s2-57; o__; f__; g__; s__	0.0	0.000110723578586	0.000320146352618	0.0	6.50778982442e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000185459940653	0.00012482057043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
