"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae"	"k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae"	"k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae"	"k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae"
"16"	12.1571686647981	1.19888323205981	4.65593693545928	7.55323807959883	5.97662451414907	0.0177916461377972	0.587124322548909	3.29282312366949	0	13.9144358679978	9.58696009196851	0.677451141402895	0.262768927573959	0	0.979909125745848	3.8484699184294	23.0087042206964
"1"	19.0926484656912	1.14676086049947	0.0527387347609758	0.00245296440748888	0.0159442686486927	0.745701179875658	1.47668457330932	5.34991537272755	0	33.3235214756847	15.8191674638928	1.0866632325195	5.71540706943738	0.0110383398336949	0.344641499251842	4.40061814702798	1.78207864203918
"15"	10.0844111640964	0.974812797821651	4.36623553437844	7.5357385976873	4.69162695710832	0.0163376446561941	0.303607896527891	3.44996596323876	0	12.7624234172954	9.57794417970657	0.692988427501752	0.226004084410919	0	1.16950306330958	7.91558883593716	24.0326752892914
"13"	0.070744586775712	0.00378988857727529	0.478789256928404	14.6138103539818	0.0164228505014796	2.69713737082664	4.99886303342378	0.183177947901772	0	5.19972712801353	0.0568483286590293	15.6332903812806	1.43257788220822	27.359205639366	0.344879860531571	6.28237196492219	0.0126329619242843
"18"	0.0516007448455139	0	0.00673053193637182	0.33203957552809	0.0471137235546127	0.0762793619456206	0.677540214928183	0.0538442554910145	0	0.199672447446054	0.0830098938819224	0.208646490028056	0.0134610638727036	0.00224351064546061	13.6405447244037	66.3675319139179	0.00673053193637182
"6"	3.76254180601635	0.501672240802513	7.02341137123319	5.51839464882465	0.418060200668594	4.09698996655603	8.11036789297213	3.01003344481708	0	22.4080267558783	10.28428093649	6.187290969894	3.34448160534676	0.334448160534676	1.3377926421387	8.69565217390156	0.585284280935432
"2"	10.1604278074949	0.534759358288733	0	3.2085561497284	0.534759358288733	1.6042780748692	8.55614973261572	11.7647058823941	0	27.2727272726864	8.02139037432599	5.34759358288733	0.534759358288733	0	7.48663101603626	0.534759358288733	1.6042780748692
"3"	12.328767123292	1.36986301369911	0	1.36986301369911	2.73972602739822	0.684931506848555	2.05479452054866	1.36986301369911	0	34.2465753424777	4.79452054794688	0.684931506848555	4.79452054794688	0.684931506848555	7.5342465753351	4.10958904109733	0.684931506848555
"11"	8.42911877394157	0	0	9.1954022988408	0.383141762451617	4.5977011494254	20.3065134099797	6.13026819922387	0	13.7931034482862	12.2605363984877	6.13026819922387	2.2988505747077	0	0	1.53256704980847	1.14942528735885
"17"	0	16.6666666666667	0	0	16.6666666666667	0	0	0	0	0	16.6666666666667	0	0	0	0	16.6666666666667	16.6666666666667
"10"	4.45859872610933	0	1.27388535031981	3.18471337579952	0	0.636942675158904	3.18471337579952	6.36942675158904	0	19.745222929897	7.64331210190885	1.91082802547971	1.91082802547971	0.636942675158904	20.3821656050969	11.4649681528983	0.636942675158904
"12"	2.4	0	1.2	11.6	0.8	4.8	14.8	9.2	0	13.2	8.4	10.4	2.8	2	1.2	0	1.2
"5"	9.375	1.25	0.625	1.25	3.125	3.125	1.875	7.5	0	18.125	18.125	3.75	1.25	0	1.875	1.25	12.5
"180.S53.L001.R1.27"	5.22340522341297	0	0	7.89880789881448	0	0	0	5.78760578761328	1.16935116935066	27.3819273819155	23.9057239057136	0	10.1465101465058	0	0	0	0
"231.S73.L001.R1.49"	3.07257930575815	0	0	1.1625975751493	0	0	0	12.3844322648925	3.13347727398811	18.0866965619891	28.8434922216826	0	10.5741017549936	0	0	0	0
"55.S16.L001.R1.81"	1.23485021723926	0	0	0.525954722158686	0	0	0	8.98467871026463	3.1763091699081	39.1104504916766	22.3919506059866	0	0.466498970957721	0	0	0	0
"37.S9.L001.R1.73"	6.74955595026552	0	0	24.4227353463838	0	0	0	6.78507992894549	2.53996447601831	17.6376554173883	28.579040852581	0	0.479573712255681	0	0	0	0
"218.S67.L001.R1.43"	3.36843201312013	0	0	2.5614660748901	0	0	0	14.3106298239006	2.25039372128009	22.9061186240009	27.2012599081011	0	6.67569080189026	0	0	0	0
"230.S72.L001.R1.48"	1.38745438270005	0	0	14.3565379054006	0	0	0	7.31598154651029	1.89699097983007	19.7101149900008	30.4723541968012	0	8.37636851890033	0	0	0	0
