samp_name	initial	after_filt	after_rare	mapped
015	59189	59145	59145	52099
025	73103	73085	73085	66676
sp27	627	625	625	399
050	61471	61461	61461	54417
049	86568	86494	86494	80171
017	76505	76494	76494	70151
031	1526	1524	1524	1213
003	28132	28130	28130	24772
6os	136	136	136	74
052d	52863	52856	52856	47075
018	70079	69997	69997	64593
19-1	27281	27258	27258	19342
101	55824	55750	55750	51312
bp078pc	367	367	367	171
020	51291	51274	51274	46070
008	54686	54676	54676	49324
024	64929	64886	64886	59342
408	107882	107812	99863	88779
084	324	313	313	164
832	87803	87735	87735	80491
030	53262	53250	53250	48272
023	89956	89886	89886	82549
094	40229	40081	40081	35742
3os	74048	73536	73536	59588
15-2	41310	41181	41181	38484
021	34936	34041	34041	31420
1405	99452	99273	99273	90766
007	77150	77146	77146	70040
057	28248	28223	28223	26032
040	43622	43531	43531	37909
15-1	131	131	131	58
013	49094	48660	48660	44355
055	84227	84177	84177	76469
011	4247	4244	4244	3561
034	39297	39271	39271	35622
058	72543	72538	72538	65717
1198	40535	40518	40518	31092
19-2	186	185	185	90
033	30404	30319	30319	27973
002	19204	19193	19193	17114
014	55931	55917	55917	50260
022	251	251	251	132
095	56539	56531	56531	51763
009	26388	26380	26380	24122
054	53457	53415	53415	48694
036	75954	75381	75381	67353
039	67214	67179	67179	56460
15-3	151	151	151	71
019	581	581	581	244
059	87706	87685	87685	80457
051k	72070	72004	72004	64976
082	70562	70325	70325	63701
041	78695	78630	78630	67797
174	88569	88497	88497	81254
152	73449	73424	73424	67148
035	81784	81756	81756	74695
012	114338	114309	100163	91831
026	45763	45752	45752	41689
2os	189	189	189	85
016	49648	48650	48650	43515
817dist	70342	70316	70316	64085
1070	75734	75715	75715	68675
042	620	619	619	408
081	111074	111018	100081	90935
032	60720	60710	60710	55633
056	70284	70246	70246	63675
037	97520	97461	97461	85741
047	67005	66998	66998	59044
027	1285	1276	1276	1075
038	50630	50593	50593	44132
045	27288	27278	27278	24199
048	521	521	521	313
930	63974	63103	63103	58004
028	33852	33829	33829	30704
010	50822	50810	50810	45975
001	53644	53269	53269	48315
085	126279	126140	99901	92492
005	74076	74068	74068	68153
029	14680	14675	14675	13460
053pc	726	726	726	564
046	49615	49586	49586	42753
sp26	124917	124476	99833	89692
044	54059	54044	54044	46650
080	125700	125617	100122	88915
004	30463	30304	30304	27812
426	85940	85800	85800	77754
043	82028	82009	82009	72540
816k	118150	117417	100132	90525
4os	56117	55935	55935	48773
812	136409	136330	99748	92298
5os	104	104	104	44
093	76079	76013	76013	70488
083	78784	78752	78752	69923
006	61145	61125	61125	56238
